"Research Product Type",Title,Authors,"Publication Year",DOI,Type,"Peer Reviewed","Diamond Journal","Download From","Publicly Funded","Funder|Project Name (GA Number)",Access,Green,"OA colour",Journal
dataset,"codette pack","Jonathan Harrison",2025-01-01,"10.34740/kaggle/dsv/11852994",dataset,no,false,"https://dx.doi.org/10.34740/kaggle/dsv/11852994",false,,unspecified,false,,
other,Codette,Jonathan,2025-01-01,10.34740/kaggle/m/347924,other,no,false,"https://dx.doi.org/10.34740/kaggle/m/347924",false,,unspecified,false,,
other,Codette,"Jonathan Harrison",2025-01-01,"10.34740/kaggle/m/348135;10.57967/hf/4600;10.57967/hf/4598;10.57967/hf/5567;10.57967/hf/5347;10.57967/hf/4595;10.57967/hf/4591;10.57967/hf/5197;10.57967/hf/4603;10.57967/hf/4842;10.57967/hf/5061;10.57967/hf/5601;10.57967/hf/5060;10.57967/hf/4655;10.57967/hf/4594;10.57967/hf/5073",other,no,false,"https://dx.doi.org/10.34740/kaggle/m/348135",false,,unspecified,false,,
publication,"Strangers Headed to a Strange Land? A Pilot Study of Using a Transition Coordinator to Improve Transfer from Pediatric to Adult Services","Fiona Henderling;Codette Barton;Margaret C. Baisley;Rachel A. Annunziato;Nicole Arrato;Ronen Arnon;Ronen Arnon;Nanda Kerkar",2013-12-01,"10.1016/j.jpeds.2013.07.031",publication,yes,false,"https://doi.org/10.1016/j.jpeds.2013.07.031",false,,"Closed Access",false,,"The Journal of Pediatrics"
publication,"A translational and systemic approach to transferring liver transplant recipients from pediatric to adult‐oriented care settings","Codette Barton;Kishore Iyer;Brittany Hogan;Ronen Arnon;Tamir Miloh;Rachel A. Annunziato;Rachel A. Annunziato;Nanda Kerkar",2010-07-01,"10.1111/j.1399-3046.2010.01348.x",publication,yes,false,"https://doi.org/10.1111/j.1399-3046.2010.01348.x",false,,"Closed Access",false,,"Pediatric Transplantation"
publication,"Adherence and medical outcomes in pediatric liver transplant recipients who transition to adult services","Codette Barton;Rachel A. Annunziato;Sukru Emre;Sukru Emre;Eyal Shemesh;Eyal Shemesh;Benjamin L. Shneider;Benjamin L. Shneider;Christina A. Dugan",2007-03-16,"10.1111/j.1399-3046.2007.00689.x",publication,yes,false,"https://doi.org/10.1111/j.1399-3046.2007.00689.x",false,,"Closed Access",false,,"Pediatric Transplantation"
software,"Raiff1982/Codette: Version 1.1","Jonathan Harrison",2025-05-09,"10.5281/zenodo.15460384;10.5281/zenodo.15460383",software,no,false,"https://dx.doi.org/10.5281/zenodo.15460384",false,,unspecified,false,,
publication,"Citizen-Science Quantum and Chaos Simulations Orchestrated by the Codette AI Suite","Harrison, Jonathan",2025-05-05,"10.5281/zenodo.15342466;10.5281/zenodo.15342465",publication,no,false,"https://dx.doi.org/10.5281/zenodo.15342466",false,,unspecified,false,,
publication,"Musculoskeletal Manifestations in Liver Transplantation Recipients","Jenny Tien Diep;Codette Barton;Sukru Emre;Leslie Dubin Kerr",2008-10-01,"10.1097/rhu.0b013e3181870212",publication,yes,false,"https://doi.org/10.1097/rhu.0b013e3181870212",false,,unspecified,false,,"JCR: Journal of Clinical Rheumatology"
other,"Ai ethics in realtime","Raiffs Bits LLC;harrison light, jonathan",2025-04-14,"10.5281/zenodo.15214462;10.5281/zenodo.15214461",other,no,false,"http://dx.doi.org/10.5281/zenodo.15214462",false,,"Open Access",false,,
publication,"Codette: A Transparent, Ethical, and Cognitive AI Architecture","Harrison, Jonathan",2025-05-25,"10.5281/zenodo.15511196;10.5281/zenodo.15511197",publication,no,false,"https://dx.doi.org/10.5281/zenodo.15511196",false,,unspecified,false,,
publication,"the day the dream became real","harrison, jonathan",,10.5281/zenodo.15685769,publication,no,false,"https://zenodo.org/records/15685769",false,,"Open Access",false,,
publication,"Citizen-Science Quantum and Chaos Simulations Orchestrated by the Codette AI Suite","Harrison, Jonathan",,10.5281/zenodo.15597934,publication,no,false,"https://zenodo.org/records/15597934",false,,"Open Access",false,,
dataset,"Codette Manifesto","Harrison, Jonathan",,10.5281/zenodo.15664624,dataset,no,false,"https://zenodo.org/records/15664624",false,,"Open Access",false,,
